id,"record_type","name","order","visible","defaults","created_by","last_modified_by","create_time","system_mtime","user_mtime"
5,"archival_object","25columns","[\"colStatus\",\"colLevel\",\"colOtherLevel\",\"colPublish\",\"colTitle\",\"colCompId\",\"colLang\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colEContainer\",\"colEPhysical\",\"colEDimensions\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colCType3\",\"colCInd3\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colNType2\",\"colNLabel2\",\"colNCont2\",\"colNType3\",\"colNLabel3\",\"colNCont3\",\"colActions\"]","[\"colStatus\",\"colLevel\",\"colPublish\",\"colTitle\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colEContainer\",\"colEPhysical\",\"colEDimensions\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colCType3\",\"colCInd3\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colActions\"]","{\"colPublish\":\"1\",\"colLang\":\"aar\",\"colNType1\":\"note_singlepart\",\"colNType2\":\"note_singlepart\",\"colNType3\":\"note_singlepart\"}","admin","admin","2016-05-19 15:03:30","2016-05-19 15:03:30","2016-05-19 15:03:30"
10,"archival_object","simple","[\"colStatus\",\"colLevel\",\"colOtherLevel\",\"colPublish\",\"colTitle\",\"colCompId\",\"colLang\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colEContainer\",\"colEPhysical\",\"colEDimensions\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colCType3\",\"colCInd3\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colNType2\",\"colNLabel2\",\"colNCont2\",\"colNType3\",\"colNLabel3\",\"colNCont3\",\"colActions\"]","[\"colStatus\",\"colLevel\",\"colTitle\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colActions\"]","{\"colPublish\":\"1\",\"colLang\":\"aar\",\"colNType1\":\"note_singlepart\",\"colNType2\":\"note_singlepart\",\"colNType3\":\"note_singlepart\"}","admin","admin","2016-12-01 15:41:18","2016-12-01 15:41:18","2016-12-01 15:41:18"
12,"archival_object","test","[\"colStatus\",\"colLevel\",\"colOtherLevel\",\"colPublish\",\"colTitle\",\"colCompId\",\"colLang\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colEContainer\",\"colEPhysical\",\"colEDimensions\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colCType3\",\"colCInd3\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colNType2\",\"colNLabel2\",\"colNCont2\",\"colNType3\",\"colNLabel3\",\"colNCont3\",\"colActions\"]","[\"colStatus\",\"colLevel\",\"colOtherLevel\",\"colPublish\",\"colTitle\",\"colCompId\",\"colLang\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colEContainer\",\"colEPhysical\",\"colEDimensions\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colCType3\",\"colCInd3\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colNType2\",\"colNLabel2\",\"colNCont2\",\"colNType3\",\"colNLabel3\",\"colNCont3\",\"colActions\"]","{\"colLevel\":\"class\",\"colPublish\":\"1\",\"colTitle\":\"test\",\"colDType\":\"bulk\",\"colDBegin\":\"1\",\"colDEnd\":\"2\",\"colNType1\":\"note_singlepart\",\"colNType2\":\"note_singlepart\",\"colNType3\":\"note_singlepart\"}","admin","admin","2017-01-19 19:53:03","2017-01-19 19:53:03","2017-01-19 19:53:03"
18,"archival_object","NC test","[\"colStatus\",\"colLevel\",\"colOtherLevel\",\"colPublish\",\"colTitle\",\"colCompId\",\"colLang\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colEContainer\",\"colEPhysical\",\"colEDimensions\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colCType3\",\"colCInd3\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colNType2\",\"colNLabel2\",\"colNCont2\",\"colNType3\",\"colNLabel3\",\"colNCont3\",\"colActions\"]","[\"colStatus\",\"colLevel\",\"colPublish\",\"colTitle\",\"colExpr\",\"colDType\",\"colDLabel\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCType2\",\"colCInd2\",\"colActions\"]","{}","admin","admin","2017-03-30 15:31:39","2017-03-30 15:31:39","2017-03-30 15:31:39"
19,"archival_object","LiCa Test","[\"colStatus\",\"colLevel\",\"colOtherLevel\",\"colPublish\",\"colTitle\",\"colCompId\",\"colLang\",\"colExpr\",\"colDType\",\"colDLabel\",\"colDBegin\",\"colDEnd\",\"colEPortion\",\"colENumber\",\"colEType\",\"colEContainer\",\"colEPhysical\",\"colEDimensions\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCBarc1\",\"colCType2\",\"colCInd2\",\"colCType3\",\"colCInd3\",\"colNType1\",\"colNLabel1\",\"colNCont1\",\"colNType2\",\"colNLabel2\",\"colNCont2\",\"colNType3\",\"colNLabel3\",\"colNCont3\",\"colActions\"]","[\"colStatus\",\"colLevel\",\"colTitle\",\"colExpr\",\"colDType\",\"colDLabel\",\"colIType\",\"colCType1\",\"colCInd1\",\"colCType2\",\"colCInd2\",\"colActions\"]","{\"colPublish\":\"1\",\"colLang\":\"aar\",\"colDType\":\"inclusive\",\"colDLabel\":\"creation\",\"colNType1\":\"note_singlepart\",\"colNType2\":\"note_singlepart\",\"colNType3\":\"note_singlepart\"}","admin","admin","2017-04-11 16:39:55","2017-04-11 16:39:55","2017-04-11 16:39:55"
