id,lock_version,json_schema_version,accession_id,archival_object_id,resource_id,digital_object_id,digital_object_component_id,repo_id,"identifier",rights_type_id,"statute_citation",jurisdiction_id,"created_by","last_modified_by","create_time","system_mtime","user_mtime",status_id,"start_date","end_date","determination_date","license_terms",other_rights_basis_id
17,0,1,NULL,NULL,64,NULL,NULL,NULL,"4ba7847ba4a8fff26e413c9392c2107d",1260,NULL,1011,"admin","admin","2016-04-02 14:19:09","2016-04-02 14:19:09","2016-04-02 14:19:09",1264,"2016-04-02",NULL,NULL,NULL,NULL
24,0,1,NULL,NULL,135,NULL,NULL,3,"c08adc7e61b61d46caf586647c27342e",1263,NULL,NULL,"admin","admin","2016-07-07 16:17:18","2016-10-03 09:59:43","2016-07-07 16:17:18",NULL,"2016-01-01",NULL,NULL,NULL,7861
26,0,1,19,NULL,NULL,NULL,NULL,NULL,"25b6b3b94a68dc7f9948ff2d2a2c8369",1263,NULL,NULL,"admin","admin","2016-08-11 07:43:17","2016-08-11 07:43:17","2016-08-11 07:43:17",NULL,"2016-06-27",NULL,NULL,NULL,7861
27,0,1,2,NULL,NULL,NULL,NULL,NULL,"38735a61e11124e82d4fcf72f15732ed",1261,NULL,NULL,"admin","admin","2017-04-06 16:25:40","2017-04-06 16:25:40","2017-04-06 16:25:40",NULL,"2016-01-11",NULL,NULL,"aass rights statement",NULL
29,0,1,NULL,NULL,24,NULL,NULL,NULL,"c4834552ec2b33c1f673de23d29fc4e6",1262,"Statute Citation",1017,"admin","admin","2017-04-06 18:09:48","2017-04-06 18:09:48","2017-04-06 18:09:48",NULL,"2016-02-03",NULL,NULL,NULL,NULL
30,0,1,1,NULL,NULL,NULL,NULL,NULL,"b0a31e4ecd977c7e3e82079b9e1a457c",1262,"Statute Citation",1017,"admin","admin","2017-04-07 13:08:56","2017-04-07 13:08:56","2017-04-07 13:08:56",NULL,"2016-01-07",NULL,NULL,NULL,NULL
31,0,1,NULL,NULL,286,NULL,NULL,NULL,"6a3783ba2d4ad95d5dfcf2a32a66c260",1262,"Statute Citation",1017,"admin","admin","2017-04-07 13:09:55","2017-04-07 13:09:55","2017-04-07 13:09:55",NULL,"2017-04-07",NULL,NULL,NULL,NULL
