id,lock_version,json_schema_version,repo_id,suppressed,"identifier","title","display_string",publish,"content_description","condition_description","disposition","inventory","provenance","general_note",resource_type_id,acquisition_type_id,"accession_date",restrictions_apply,"retention_rule",access_restrictions,"access_restrictions_note",use_restrictions,"use_restrictions_note","created_by","last_modified_by","create_time","system_mtime","user_mtime"
12,3,1,2,0,"[\"Kansas Collection\",\"kc.monhollanrusty1960s_8\",null,null]","America in the 1960s oral histories","America in the 1960s oral histories",0,"Essays and transcripts of interviews conducted by members of Monhollan's \"America in the 1960s\" class at KU, spring 1997, covering 1960-1972. Subjects include: Vietnam War, civil rights movement, student protests. All but one of the interview transcripts is accompanied by an audiotape.  The envelopes the projects came in are in the folders with the transcripts; some of the papers and/or envelopes have the students' grades on them.",NULL,NULL,"3 boxes","Rusty Monhollon Brought in by:  Donor. Received by: Bryan Culp",NULL,NULL,2764,"1999-05-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-03-24 15:17:26","2017-07-13 22:14:21","2016-03-24 15:17:26"
13,3,1,2,0,"[\"Kansas Collection\",\"kc.shontznancy_9\",null,null]","Nancy Shontz papers","Nancy Shontz papers",0,"Includes photographic materials. Papers of Nancy Shontz (1927-1999), who lived in Lawrence from 1960 till her death.  She served on the Lawrence City Commission, 1981-1985, and was involved with  a number of community organizations. Folders that Shontz herself created were left as is.  Very little additional processing was done.  THIS COLLECTION IS SHELVED AT: RH MS 553.",NULL,NULL,"31 boxes","Franklin C. Shontz Brought in by:  Swilliams. Received by: Sherry Williams",NULL,NULL,2764,"1999-05-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-03-24 15:17:27","2017-07-13 22:14:21","2016-03-24 15:17:27"
14,2,1,2,0,"[\"Kansas Collection\",\"kc.lawrencepreservationalliance_9\",null,null]","Lawrence Preservation Alliance","Lawrence Preservation Alliance",0,"Scrapbooks, correspondence, financial records, articles about Lawrence Preservation Alliance projects, 1984-1995.  Donor is deceased.",NULL,NULL,"3 boxes","Nancy Shontz Brought in by:  donor. Received by: Kristin Eshelman",NULL,NULL,2764,"1999-05-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-03-24 15:17:27","2017-07-13 22:14:21","2016-03-24 15:17:27"
15,4,1,2,0,"[\"Kansas Collection\",\"kc.internationalcitycounty_10\",null,null]","ICMA records","ICMA records",0,"ICMA publications. Was routed directly from their storage facility in Alpharetta, GA.",NULL,NULL,"2 boxes","Vera Welsh, Archivist, ICMA Brought in by:  UPS. Received by: Lin Fredericksen",NULL,NULL,2764,"1999-05-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-03-24 15:17:27","2017-07-13 22:14:21","2017-04-10 15:08:00"
16,2,1,2,0,"[\"idx\",null,null,null]","spawn-test","spawn-test",0,"Basketballs",NULL,NULL,NULL,"provenance note",NULL,NULL,NULL,"2016-04-26",0,NULL,0,NULL,0,NULL,"admin","admin","2016-04-26 19:27:16","2017-07-13 22:14:21","2016-08-17 21:30:14"
17,3,1,6,0,"[\"Today\",null,null,null]","This new accession","This new accession",1,NULL,NULL,NULL,"Writings:  \"Reminiscences of a Historian,\" 1972.

Growing up with Buena Vista College, 1914-1918.

A Decade of Growth, 1981

Publicity of Nine Years with the Spokane Indians.

",NULL,NULL,NULL,NULL,"2016-05-13",0,NULL,0,NULL,0,NULL,"admin","admin","2016-05-13 21:12:03","2017-07-13 22:14:21","2016-05-13 21:17:31"
19,3,1,2,0,"[\"AR-1426\",null,null,null]","Restore \"Processing Status\" field to Collection Management sub-record","Restore \"Processing Status\" field to Collection Management sub-record",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-06-27",0,NULL,0,NULL,0,NULL,"admin","admin","2016-06-27 14:23:12","2017-07-13 22:14:21","2016-08-11 07:43:17"
20,7,1,9,0,"[\"2016\",\"0007\",null,null]","Fern Arable papers","Fern Arable papers",0,"Correspondence, diaries, and clipping files documenting daily life on an Iowa farm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-06-29",0,NULL,0,NULL,0,NULL,"admin","admin","2016-06-29 16:52:50","2017-07-13 22:14:21","2016-06-30 15:30:35"
21,1,1,8,0,"[\"2016\",\"0006\",null,null]","Fern Arable papers","Fern Arable papers",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-06-29",0,NULL,0,NULL,0,NULL,"admin","admin","2016-06-29 19:03:59","2017-07-13 22:14:21","2016-06-29 19:04:37"
22,1,1,9,0,"[\"2016\",\"0001\",null,null]","New accession record with one tc","New accession record with one tc",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-06-29",0,NULL,0,NULL,0,NULL,"admin","admin","2016-06-29 19:29:38","2017-07-13 22:14:21","2016-06-29 19:30:01"
23,0,1,9,0,"[\"2016\",\"1000\",null,null]","Wilbur papers","Wilbur papers",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-06-29",0,NULL,0,NULL,0,NULL,"admin","admin","2016-06-29 19:44:27","2017-07-13 22:14:21","2016-06-29 19:44:27"
24,2,1,9,0,"[\"2016\",\"101\",null,null]","Accession record on 6/30 - one container instance, one digital","Accession record on 6/30 - one container instance, one digital",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-06-30",0,NULL,0,NULL,0,NULL,"admin","admin","2016-06-30 12:56:11","2017-07-13 22:14:21","2016-06-30 13:00:21"
25,1,1,5,0,"[\"2016\",\"0001\",null,null]","Letters written by John Hoover","Letters written by John Hoover",0,"5 letters to various correspondents containing information about the family farm","one letter is ripped and has a piece missing",NULL,NULL,"gift of Ann Smith Hoover, May 23, 2016",NULL,NULL,245,"2016-06-30",0,NULL,0,"No restrictions",0,NULL,"admin","admin","2016-06-30 15:43:38","2017-07-13 22:14:21","2016-06-30 17:32:43"
26,2,1,9,0,"[\"2016\",\"0013\",null,null]","Fern Arable papers","Fern Arable papers",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-07-02",0,NULL,0,NULL,0,NULL,"admin","admin","2016-07-02 15:14:45","2017-07-13 22:14:21","2016-07-12 13:52:57"
27,0,1,2,0,"[\"2016\",\"986\",null,null]","sdfsdf","sdfsdf",0,"sdfsdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-07-04",0,NULL,0,NULL,0,NULL,"admin","admin","2016-07-04 18:30:20","2017-07-13 22:14:21","2016-07-04 18:30:20"
28,14,1,2,0,"[\"MEOW\",\"999\",null,null]","Lots of containers (11)","Lots of containers (11)",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-09-02",0,NULL,0,NULL,0,NULL,"admin","admin","2016-09-02 14:17:11","2017-07-13 22:14:21","2016-09-02 14:22:34"
29,4,1,2,0,"[\"1992\",\"110\",null,null]","Cloud Watchers Society of Freedonia","Cloud Watchers Society of Freedonia",0,"Inventory available.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1992-01-01",0,NULL,0,"None",0,NULL,"admin","admin","2016-09-27 17:53:49","2017-07-13 22:14:21","2016-09-27 17:53:49"
30,7,1,2,0,"[\"1933\",\"100\",null,null]","Rufus T. Firefly Papers","Rufus T. Firefly Papers",0,"Financial aid to Freedonia; revolution in Sylvannia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-09-27",0,NULL,1,NULL,0,NULL,"admin","admin","2016-09-27 18:04:14","2017-07-13 22:14:21","2017-04-06 16:42:20"
31,8,1,2,0,"[\"1957\",\"333\",null,null]","L.B. \"Jeff\" Jefferies Photographs","L.B. \"Jeff\" Jefferies Photographs",0,"This collection consists of materials created and collected by L.B. \"Jeff\" Jefferies documenting his career as a photojournalist in the 1950s. Materials include photographic negatives and prints, as well as published versions of his work on the Algerian War of Independence, the Cuban Revolution, and the First Indochina War. The collection also contains a small amount of materials documenting summer in the Greenwich Village neighborhood during Jefferies' convalescence in 1954.",NULL,"New collection (RW 291)",NULL,"Donated by Lisa Jefferies nee Fremont in January 2014.",NULL,250,245,"1957-06-15",0,NULL,0,"Open for researchers without restriction.",0,"Copyright to materials in this collection created by Jeff Jefferies are held by Lisa Jefferies. Permission to publish or reproduce materials to which s/he holds copyright must be secured from the copyright holder.","admin","admin","2016-09-27 19:00:20","2017-07-13 22:14:21","2016-11-16 15:53:08"
32,2,1,2,0,"[\"2016-M123\",null,null,null]","Houghton Test Accession","Houghton Test Accession",0,"Contains ephemera related to Houghton's exhibitions. ",NULL,NULL,NULL,NULL,NULL,248,245,"2016-08-24",0,NULL,0,NULL,0,NULL,"admin","admin","2016-09-30 15:46:23","2017-07-13 22:14:21","2016-09-30 15:46:23"
33,0,1,2,0,"[\"*2010M-1\",null,null,null]","Annotation by A. L. (Alfred Leslie) Rowse on clipping","Annotation by A. L. (Alfred Leslie) Rowse on clipping",0,NULL,NULL,"MW cat",NULL,NULL,NULL,NULL,NULL,"2010-07-02",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-07 18:37:26","2017-07-13 22:14:21","2016-11-07 18:37:26"
34,3,1,2,0,"[\"*2010M-2\",null,null,null]","New Testament, ca. 1260","New Testament, ca. 1260",0,NULL,NULL,"to S. Wyssen",NULL,NULL,NULL,NULL,NULL,"2010-07-03",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-07 18:37:26","2017-07-13 22:14:21","2017-04-06 18:56:01"
35,13,1,2,0,"[\"2016-test4\",null,null,null]","Meg Wolitzer papers","Meg Wolitzer papers",1,"Contains Wolitzer's correspondence and compositions with some printed material as well as a few cassette tapes. ",NULL,NULL,NULL,"Purchased from Meg Wolizter from Glenn Horowitz in 2016. ",NULL,250,246,"2016-11-07",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-07 20:27:47","2017-07-13 22:14:21","2016-11-17 15:00:34"
37,1,1,12,0,"[\"acc\",\"001\",null,null]","A new accession","A new accession",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-09",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-09 23:13:55","2017-07-13 22:14:21","2016-11-09 23:16:23"
38,1,1,12,0,"[\"HUD\",\"ACC\",\"1\",null]","Can you find me?","Can you find me?",0,"e340f1795df027478de2bb599bfcb5a7 998c2b48ca75496ea872f094190fdd3b","0328cca48fce60d93c085c19db9a394f 6b1ffd33e73f0e19eee2d09253cf8cf5","b7933f38b165c4e0237b10f864eaf567 e4356c8ffc3a8b9cb457ef41f6b16e2b",NULL,NULL,"9f85dcb13f504061907324efcdea38b2 b61eb4833cfd006086802a479600a982",NULL,NULL,"2016-11-09",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-10 02:10:32","2017-07-13 22:14:21","2016-11-10 02:10:32"
