id,lock_version,json_schema_version,accession_id,deaccession_id,archival_object_id,resource_id,digital_object_id,digital_object_component_id,portion_id,"number",extent_type_id,"container_summary","physical_details","dimensions","created_by","last_modified_by","create_time","system_mtime","user_mtime"
139,0,1,NULL,NULL,NULL,50,NULL,NULL,923,"10",1372,NULL,NULL,NULL,"admin","admin","2016-03-04 14:24:40","2017-04-07 15:20:37","2016-03-04 14:24:40"
143,0,1,NULL,NULL,NULL,53,NULL,NULL,924,"3",2574,"another extent statement","physfacet","dimensions","admin","admin","2016-03-08 16:47:27","2016-03-08 16:47:27","2016-03-08 16:47:27"
144,0,1,NULL,NULL,NULL,54,NULL,NULL,924,"1",1372,"in 2 boxes",NULL,NULL,"admin","admin","2016-03-08 18:37:11","2016-03-08 18:37:11","2016-03-08 18:37:11"
145,0,1,NULL,NULL,NULL,54,NULL,NULL,923,"10",2586,NULL,"black and white","8 x 10","admin","admin","2016-03-08 18:37:11","2016-03-08 18:37:11","2016-03-08 18:37:11"
150,0,1,NULL,NULL,NULL,56,NULL,NULL,923,"1",2626,NULL,NULL,NULL,"admin","admin","2016-03-09 15:06:19","2016-03-09 15:06:19","2016-03-09 15:06:19"
151,0,1,NULL,NULL,11905,NULL,NULL,NULL,923,"1",2620,NULL,NULL,NULL,"admin","admin","2016-03-09 15:06:19","2016-03-09 15:06:19","2016-03-09 15:06:19"
152,0,1,NULL,NULL,11906,NULL,NULL,NULL,923,"1",2620,NULL,NULL,NULL,"admin","admin","2016-03-09 15:06:19","2016-03-09 15:06:19","2016-03-09 15:06:19"
153,0,1,NULL,NULL,11924,NULL,NULL,NULL,923,"1",2620,NULL,NULL,NULL,"admin","admin","2016-03-09 15:06:20","2016-03-09 15:06:20","2016-03-09 15:06:20"
154,0,1,NULL,NULL,11925,NULL,NULL,NULL,923,"1",2620,NULL,NULL,NULL,"admin","admin","2016-03-09 15:06:20","2016-03-09 15:06:20","2016-03-09 15:06:20"
162,0,1,NULL,NULL,NULL,58,NULL,NULL,923,"20",2682,"60 boxes",NULL,NULL,"admin","admin","2016-03-14 13:01:08","2016-03-14 13:01:08","2016-03-14 13:01:08"
163,0,1,NULL,NULL,NULL,58,NULL,NULL,923,"10000",2586,NULL,"gelatin silver","8 x 10 or larger","admin","admin","2016-03-14 13:01:08","2016-03-14 13:01:08","2016-03-14 13:01:08"
