id,lock_version,json_schema_version,accession_id,resource_id,digital_object_id,boolean_1,boolean_2,boolean_3,"integer_1","integer_2","integer_3","real_1","real_2","real_3","string_1","string_2","string_3","string_4","text_1","text_2","text_3","text_4","text_5","date_1","date_2","date_3","created_by","last_modified_by","create_time","system_mtime","user_mtime",enum_1_id,enum_2_id,enum_3_id,enum_4_id
3,0,1,14,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,"Voyager ID:  4230542",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-03-24 15:17:27","2016-03-24 15:17:27","2016-03-24 15:17:27",NULL,NULL,NULL,NULL
15,0,1,NULL,NULL,224,0,1,0,"1","2",NULL,"0.00","0.00",NULL,"string","string2","string3",NULL,"SO MANY FIELDS!!","SO MANYYYY!","AND ON AND ON","are you serious?","more more more","1978-04-11","2012-02-24",NULL,"admin","admin","2016-08-24 18:18:55","2016-08-24 18:18:55","2016-08-24 18:18:55",NULL,NULL,NULL,NULL
18,0,1,38,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3d99fb72965616f9b536368740df62b9 c8e731197e844b70226b0424d356856a",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2016-11-10 02:10:32","2016-11-10 02:10:32","2016-11-10 02:10:32",NULL,NULL,NULL,NULL
20,0,1,11,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,"Voyager ID:  4855246",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2017-03-06 16:52:17","2017-03-06 16:52:17","2017-03-06 16:52:17",NULL,NULL,NULL,NULL
24,0,1,15,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,"Voyager ID:  4855246",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2017-04-10 15:08:00","2017-04-10 15:08:00","2017-04-10 15:08:00",NULL,NULL,NULL,NULL
26,0,1,NULL,20,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2017-04-11 12:48:51","2017-04-11 12:48:51","2017-04-11 12:48:51",NULL,NULL,NULL,NULL
27,0,1,NULL,10,NULL,0,0,0,"1","2","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2017-04-25 15:24:22","2017-04-25 15:24:22","2017-04-25 15:24:22",NULL,NULL,NULL,NULL
29,0,1,7,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,"Voyager ID: 1111897",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"admin","admin","2017-04-28 20:09:58","2017-04-28 20:09:58","2017-04-28 20:09:58",NULL,NULL,NULL,NULL
